,0700,,,0800,,,0900,,,1000,,,1100,,,1200,,,1300,,
,0-68,68-87,87-100,0-58,58-77,77-100,0-48,48-67,67-100,0-43,43-62,62-100,0-38,38-57,57-100,0-35,35-54,54-100,0-33,33-52,52-100
50,54,48,43,56,49,44,59,50,45,64,56,51,70,62,57,76,69,64,82,77,72
60,57,53,49,60,54,49,63,55,50,67,60,56,70,66,61,78,70,68,83,79,75
70,62,58,55,64,60,56,67,61,57,71,66,62,76,71,67,80,72,72,85,82,78
72,63,60,57,65,61,57,68,63,58,72,67,63,77,72,68,81,76,73,86,83,79
74,64,61,58,67,63,59,69,64,60,73,69,64,77,73,69,82,77,74,87,84,80
75,65,62,59,67,63,60,70,65,61,74,69,65,78,74,70,82,78,75,87,84,80
76,66,63,60,68,64,60,70,66,61,74,70,66,78,75,70,83,79,76,87,84,81
77,66,63,60,69,65,61,71,67,62,75,71,66,79,75,71,84,80,76,88,85,81
78,67,64,61,69,66,62,72,68,63,75,72,67,79,76,72,84,80,77,88,85,81
79,68,65,62,70,67,63,72,68,64,76,72,68,80,77,72,85,81,77,88,86,82
80,69,66,63,71,67,64,73,69,65,77,73,69,81,77,73,85,82,78,89,86,82
81,69,66,64,72,68,65,74,70,66,70,74,70,81,78,74,86,82,78,89,86,82
82,70,67,65,72,69,66,75,71,67,78,75,70,82,79,74,86,83,79,89,87,83
83,71,68,66,73,70,67,75,72,68,79,76,71,82,79,75,87,83,80,90,87,83
84,72,69,67,74,71,68,76,73,69,80,77,72,83,80,76,87,84,80,90,88,83
85,73,70,67,75,72,69,77,74,70,80,77,73,84,81,77,88,85,81,90,88,83
86,74,71,68,76,73,70,78,75,71,81,78,74,85,82,77,89,86,81,91,88,84
87,75,72,69,77,74,71,79,76,72,82,79,75,85,83,78,89,87,82,91,89,84
88,76,73,71,78,75,72,80,77,73,83,80,76,86,84,79,90,87,82,91,89,84
89,78,74,72,79,76,73,81,78,74,84,81,77,87,85,80,90,88,83,92,89,85
90,79,75,73,80,77,74,82,79,76,85,82,78,88,86,81,91,88,84,92,90,85
91,80,76,74,81,78,75,83,81,77,86,83,79,89,87,82,91,89,84,92,90,85
92,81,77,75,83,79,77,84,82,78,87,85,80,90,88,83,92,89,85,92,90,86
93,83,78,76,84,81,78,85,83,79,88,86,82,91,89,84,92,90,85,93,91,86
94,84,80,77,85,82,79,86,84,81,89,87,83,92,90,85,93,91,86,93,91,86
95,86,81,79,87,83,81,88,85,82,90,88,84,93,91,86,93,91,86,93,91,86
96,87,82,80,88,84,82,89,87,84,91,89,85,94,92,87,94,92,87,94,92,87
97,89,84,81,90,86,83,90,88,85,93,91,87,95,93,88,95,93,88,95,93,88
98,90,85,83,91,87,85,92,89,87,94,92,88,96,94,89,96,94,89,96,94,89
99,92,87,84,93,88,86,93,90,88,95,93,90,97,96,91,97,96,91,97,96,90
100,93,88,85,94,90,88,95,91,90,96,94,91,98,97,92,98,97,92,98,97,92
