"Zone","Weather Station","Elevation","FBP Fuel Type","Grass Cure","Status","Temp","RH","Wind Dir","Wind Speed (km/h)","Precip (mm)","FFMC","DMC","DC","ISI","BUI","FWI","HFI","Critical Hours (4000 kW/m)","Critical Hours (10000 kW/m)","ROS (m/min)","Fire Type","CFB (%)","Flame Length (m)","30 min fire size (ha)","60 min fire size (ha)"
"K5","PENTICTON RS (328)","427","O1A","80","ACTUAL","25.9","30","302","7.3","0","91.932","122.665","1002.44","8.156","187.86","33.709","1468.3296228910988","","","13.984091646581893","S","0.0","2.212336338874282","5.1009941188966925","28.273388410171016"
"K2","AFTON (322)","780","C5","","ACTUAL","20.5","38","310","9.2","0","89.579","90.588","858.106","6.417","143.344","26.922","629.1355440376345","","","0.5728888963554044","S","0.0","1.4481431145178463","0.009328024522166307","0.0522691463588831"
